slug,title,disorder,active_pair,doi,doi_url,zenodo_url,deposition_id,record_id,github_url,pdf_file,published
obstructive_sleep_apnea_hypopnea,Mechanism-Guided Discovery of suvorexant + agomelatine for Obstructive Sleep Apnea Hypopnea,Obstructive Sleep Apnea Hypopnea,suvorexant + agomelatine,10.5281/zenodo.20609319,https://doi.org/10.5281/zenodo.20609319,https://zenodo.org/records/20609319,20609319,20609319,https://github.com/danbroz/Med-discovery-public/tree/main/obstructive_sleep_apnea_hypopnea,obstructive_sleep_apnea_hypopnea.pdf,True
vascular_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Vascular Neurocognitive Disorder,Vascular Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609321,https://doi.org/10.5281/zenodo.20609321,https://zenodo.org/records/20609321,20609321,20609321,https://github.com/danbroz/Med-discovery-public/tree/main/vascular_neurocognitive_disorder,vascular_neurocognitive_disorder.pdf,True
lewy_body_disease,Mechanism-Guided Discovery of pitolisant + xanomeline for Lewy Body Disease,Lewy Body Disease,pitolisant + xanomeline,10.5281/zenodo.20609323,https://doi.org/10.5281/zenodo.20609323,https://zenodo.org/records/20609323,20609323,20609323,https://github.com/danbroz/Med-discovery-public/tree/main/lewy_body_disease,lewy_body_disease.pdf,True
schizoaffective_disorder,Mechanism-Guided Discovery of xanomeline + perospirone for Schizoaffective Disorder,Schizoaffective Disorder,xanomeline + perospirone,10.5281/zenodo.20609325,https://doi.org/10.5281/zenodo.20609325,https://zenodo.org/records/20609325,20609325,20609325,https://github.com/danbroz/Med-discovery-public/tree/main/schizoaffective_disorder,schizoaffective_disorder.pdf,True
premenstrual_dysphoric_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Premenstrual Dysphoric Disorder,Premenstrual Dysphoric Disorder,agomelatine + vilazodone,10.5281/zenodo.20609327,https://doi.org/10.5281/zenodo.20609327,https://zenodo.org/records/20609327,20609327,20609327,https://github.com/danbroz/Med-discovery-public/tree/main/premenstrual_dysphoric_disorder,premenstrual_dysphoric_disorder.pdf,True
adjustment_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Adjustment Disorder,Adjustment Disorder,agomelatine + vilazodone,10.5281/zenodo.20609329,https://doi.org/10.5281/zenodo.20609329,https://zenodo.org/records/20609329,20609329,20609329,https://github.com/danbroz/Med-discovery-public/tree/main/adjustment_disorder,adjustment_disorder.pdf,True
opioid_withdrawal,Mechanism-Guided Discovery of sufentanil + oxymetazoline for Opioid Withdrawal,Opioid Withdrawal,sufentanil + oxymetazoline,10.5281/zenodo.20609331,https://doi.org/10.5281/zenodo.20609331,https://zenodo.org/records/20609331,20609331,20609331,https://github.com/danbroz/Med-discovery-public/tree/main/opioid_withdrawal,opioid_withdrawal.pdf,True
hypersomnolence_disorder,Mechanism-Guided Discovery of pitolisant + Nag 26 for Hypersomnolence Disorder,Hypersomnolence Disorder,pitolisant + Nag 26,10.5281/zenodo.20609333,https://doi.org/10.5281/zenodo.20609333,https://zenodo.org/records/20609333,20609333,20609333,https://github.com/danbroz/Med-discovery-public/tree/main/hypersomnolence_disorder,hypersomnolence_disorder.pdf,True
borderline_personality_disorder,Mechanism-Guided Discovery of pimavanserin + perospirone for Borderline Personality Disorder,Borderline Personality Disorder,pimavanserin + perospirone,10.5281/zenodo.20609335,https://doi.org/10.5281/zenodo.20609335,https://zenodo.org/records/20609335,20609335,20609335,https://github.com/danbroz/Med-discovery-public/tree/main/borderline_personality_disorder,borderline_personality_disorder.pdf,True
disruptive_mood_dysregulation_disorder,Mechanism-Guided Discovery of agomelatine + suvorexant for Disruptive Mood Dysregulation Disorder,Disruptive Mood Dysregulation Disorder,agomelatine + suvorexant,10.5281/zenodo.20609337,https://doi.org/10.5281/zenodo.20609337,https://zenodo.org/records/20609337,20609337,20609337,https://github.com/danbroz/Med-discovery-public/tree/main/disruptive_mood_dysregulation_disorder,disruptive_mood_dysregulation_disorder.pdf,True
specific_phobia,Mechanism-Guided Discovery of agomelatine + vilazodone for Specific Phobia,Specific Phobia,agomelatine + vilazodone,10.5281/zenodo.20609341,https://doi.org/10.5281/zenodo.20609341,https://zenodo.org/records/20609341,20609341,20609341,https://github.com/danbroz/Med-discovery-public/tree/main/specific_phobia,specific_phobia.pdf,True
frontotemporal_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Frontotemporal Neurocognitive Disorder,Frontotemporal Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609343,https://doi.org/10.5281/zenodo.20609343,https://zenodo.org/records/20609343,20609343,20609343,https://github.com/danbroz/Med-discovery-public/tree/main/frontotemporal_neurocognitive_disorder,frontotemporal_neurocognitive_disorder.pdf,True
mild_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Mild Neurocognitive Disorder,Mild Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609345,https://doi.org/10.5281/zenodo.20609345,https://zenodo.org/records/20609345,20609345,20609345,https://github.com/danbroz/Med-discovery-public/tree/main/mild_neurocognitive_disorder,mild_neurocognitive_disorder.pdf,True
delirium,Mechanism-Guided Discovery of pitolisant + xanomeline for Delirium,Delirium,pitolisant + xanomeline,10.5281/zenodo.20609349,https://doi.org/10.5281/zenodo.20609349,https://zenodo.org/records/20609349,20609349,20609349,https://github.com/danbroz/Med-discovery-public/tree/main/delirium,delirium.pdf,True
bulimia_nervosa,Mechanism-Guided Discovery of vilazodone + crinecerfont for Bulimia Nervosa,Bulimia Nervosa,vilazodone + crinecerfont,10.5281/zenodo.20609351,https://doi.org/10.5281/zenodo.20609351,https://zenodo.org/records/20609351,20609351,20609351,https://github.com/danbroz/Med-discovery-public/tree/main/bulimia_nervosa,bulimia_nervosa.pdf,True
schizophreniform_disorder,Mechanism-Guided Discovery of xanomeline + perospirone for Schizophreniform Disorder,Schizophreniform Disorder,xanomeline + perospirone,10.5281/zenodo.20609355,https://doi.org/10.5281/zenodo.20609355,https://zenodo.org/records/20609355,20609355,20609355,https://github.com/danbroz/Med-discovery-public/tree/main/schizophreniform_disorder,schizophreniform_disorder.pdf,True
premature_ejaculation,Mechanism-Guided Discovery of mianserin + sufentanil for Premature Ejaculation,Premature Ejaculation,mianserin + sufentanil,10.5281/zenodo.20609357,https://doi.org/10.5281/zenodo.20609357,https://zenodo.org/records/20609357,20609357,20609357,https://github.com/danbroz/Med-discovery-public/tree/main/premature_ejaculation,premature_ejaculation.pdf,True
circadian_rhythm_sleep_wake_disorder,Mechanism-Guided Discovery of agomelatine + suvorexant for Circadian Rhythm Sleep Wake Disorder,Circadian Rhythm Sleep Wake Disorder,agomelatine + suvorexant,10.5281/zenodo.20609359,https://doi.org/10.5281/zenodo.20609359,https://zenodo.org/records/20609359,20609359,20609359,https://github.com/danbroz/Med-discovery-public/tree/main/circadian_rhythm_sleep_wake_disorder,circadian_rhythm_sleep_wake_disorder.pdf,True
conduct_disorder,Mechanism-Guided Discovery of perospirone + oxymetazoline for Conduct Disorder,Conduct Disorder,perospirone + oxymetazoline,10.5281/zenodo.20609361,https://doi.org/10.5281/zenodo.20609361,https://zenodo.org/records/20609361,20609361,20609361,https://github.com/danbroz/Med-discovery-public/tree/main/conduct_disorder,conduct_disorder.pdf,True
oppositional_defiant_disorder,Mechanism-Guided Discovery of perospirone + oxymetazoline for Oppositional Defiant Disorder,Oppositional Defiant Disorder,perospirone + oxymetazoline,10.5281/zenodo.20609363,https://doi.org/10.5281/zenodo.20609363,https://zenodo.org/records/20609363,20609363,20609363,https://github.com/danbroz/Med-discovery-public/tree/main/oppositional_defiant_disorder,oppositional_defiant_disorder.pdf,True
multiple_etiologies_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Multiple Etiologies Neurocognitive Disorder,Multiple Etiologies Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609365,https://doi.org/10.5281/zenodo.20609365,https://zenodo.org/records/20609365,20609365,20609365,https://github.com/danbroz/Med-discovery-public/tree/main/multiple_etiologies_neurocognitive_disorder,multiple_etiologies_neurocognitive_disorder.pdf,True
traumatic_brain_injury_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Traumatic Brain Injury Neurocognitive Disorder,Traumatic Brain Injury Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609369,https://doi.org/10.5281/zenodo.20609369,https://zenodo.org/records/20609369,20609369,20609369,https://github.com/danbroz/Med-discovery-public/tree/main/traumatic_brain_injury_neurocognitive_disorder,traumatic_brain_injury_neurocognitive_disorder.pdf,True
alcohol_withdrawal,Mechanism-Guided Discovery of delta-9-tetrahydrocannabinol + betaxolol for Alcohol Withdrawal,Alcohol Withdrawal,delta-9-tetrahydrocannabinol + betaxolol,10.5281/zenodo.20609371,https://doi.org/10.5281/zenodo.20609371,https://zenodo.org/records/20609371,20609371,20609371,https://github.com/danbroz/Med-discovery-public/tree/main/alcohol_withdrawal,alcohol_withdrawal.pdf,True
separation_anxiety_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Separation Anxiety Disorder,Separation Anxiety Disorder,agomelatine + vilazodone,10.5281/zenodo.20609375,https://doi.org/10.5281/zenodo.20609375,https://zenodo.org/records/20609375,20609375,20609375,https://github.com/danbroz/Med-discovery-public/tree/main/separation_anxiety_disorder,separation_anxiety_disorder.pdf,True
anorexia_nervosa,Mechanism-Guided Discovery of mianserin + delta-9-tetrahydrocannabinol for Anorexia Nervosa,Anorexia Nervosa,mianserin + delta-9-tetrahydrocannabinol,10.5281/zenodo.20609377,https://doi.org/10.5281/zenodo.20609377,https://zenodo.org/records/20609377,20609377,20609377,https://github.com/danbroz/Med-discovery-public/tree/main/anorexia_nervosa,anorexia_nervosa.pdf,True
acute_stress_disorder,Mechanism-Guided Discovery of pimavanserin + agomelatine for Acute Stress Disorder,Acute Stress Disorder,pimavanserin + agomelatine,10.5281/zenodo.20609379,https://doi.org/10.5281/zenodo.20609379,https://zenodo.org/records/20609379,20609379,20609379,https://github.com/danbroz/Med-discovery-public/tree/main/acute_stress_disorder,acute_stress_disorder.pdf,True
agoraphobia,Mechanism-Guided Discovery of vilazodone + agomelatine for Agoraphobia,Agoraphobia,vilazodone + agomelatine,10.5281/zenodo.20609381,https://doi.org/10.5281/zenodo.20609381,https://zenodo.org/records/20609381,20609381,20609381,https://github.com/danbroz/Med-discovery-public/tree/main/agoraphobia,agoraphobia.pdf,True
cyclothymic_disorder,Mechanism-Guided Discovery of pimavanserin + perospirone for Cyclothymic Disorder,Cyclothymic Disorder,pimavanserin + perospirone,10.5281/zenodo.20609383,https://doi.org/10.5281/zenodo.20609383,https://zenodo.org/records/20609383,20609383,20609383,https://github.com/danbroz/Med-discovery-public/tree/main/cyclothymic_disorder,cyclothymic_disorder.pdf,True
delusional_disorder,Mechanism-Guided Discovery of xanomeline + perospirone for Delusional Disorder,Delusional Disorder,xanomeline + perospirone,10.5281/zenodo.20609385,https://doi.org/10.5281/zenodo.20609385,https://zenodo.org/records/20609385,20609385,20609385,https://github.com/danbroz/Med-discovery-public/tree/main/delusional_disorder,delusional_disorder.pdf,True
central_sleep_apnea,Mechanism-Guided Discovery of agomelatine + suvorexant for Central Sleep Apnea,Central Sleep Apnea,agomelatine + suvorexant,10.5281/zenodo.20609387,https://doi.org/10.5281/zenodo.20609387,https://zenodo.org/records/20609387,20609387,20609387,https://github.com/danbroz/Med-discovery-public/tree/main/central_sleep_apnea,central_sleep_apnea.pdf,True
male_hypoactive_sexual_desire_disorder,Mechanism-Guided Discovery of mianserin + sufentanil for Male Hypoactive Sexual Desire Disorder,Male Hypoactive Sexual Desire Disorder,mianserin + sufentanil,10.5281/zenodo.20609389,https://doi.org/10.5281/zenodo.20609389,https://zenodo.org/records/20609389,20609389,20609389,https://github.com/danbroz/Med-discovery-public/tree/main/male_hypoactive_sexual_desire_disorder,male_hypoactive_sexual_desire_disorder.pdf,True
