rank,slug,docket,application,application_status,customer_number,title,disorder,active_pair,doi,doi_url,zenodo_url,github_url,published,paper_status,patent_status
101,sexual_sadism_disorder,MHMDCNS-101,"64/090,941",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Sexual Sadism Disorder with a combination of vilazodone and bicalutamide,Sexual Sadism Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708288,https://doi.org/10.5281/zenodo.20708288,https://zenodo.org/records/20708288,https://github.com/danbroz/Med-discovery-public/tree/main/sexual_sadism_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
102,exhibitionistic_disorder,MHMDCNS-102,Awaiting confirmation,Awaiting confirmation,,Pharmaceutical compositions and methods of treating Exhibitionistic Disorder with a combination of vilazodone and bicalutamide,Exhibitionistic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708290,https://doi.org/10.5281/zenodo.20708290,https://zenodo.org/records/20708290,https://github.com/danbroz/Med-discovery-public/tree/main/exhibitionistic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
103,voyeuristic_disorder,MHMDCNS-103,"64/090,952",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Voyeuristic Disorder with a combination of vilazodone and bicalutamide,Voyeuristic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708293,https://doi.org/10.5281/zenodo.20708293,https://zenodo.org/records/20708293,https://github.com/danbroz/Med-discovery-public/tree/main/voyeuristic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
104,frotteuristic_disorder,MHMDCNS-104,"64/090,954",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Frotteuristic Disorder with a combination of vilazodone and bicalutamide,Frotteuristic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708295,https://doi.org/10.5281/zenodo.20708295,https://zenodo.org/records/20708295,https://github.com/danbroz/Med-discovery-public/tree/main/frotteuristic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
105,fetishistic_disorder,MHMDCNS-105,"64/090,959",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Fetishistic Disorder with a combination of vilazodone and bicalutamide,Fetishistic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708297,https://doi.org/10.5281/zenodo.20708297,https://zenodo.org/records/20708297,https://github.com/danbroz/Med-discovery-public/tree/main/fetishistic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
106,transvestic_disorder,MHMDCNS-106,"64/090,964",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Transvestic Disorder with a combination of vilazodone and bicalutamide,Transvestic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708299,https://doi.org/10.5281/zenodo.20708299,https://zenodo.org/records/20708299,https://github.com/danbroz/Med-discovery-public/tree/main/transvestic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
107,prion_disease_neurocognitive_disorder,MHMDCNS-107,"64/090,969",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of palliative cognitive support in Prion Disease Neurocognitive Disorder with a combination of pitolisant and xanomeline,Prion Disease Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20708301,https://doi.org/10.5281/zenodo.20708301,https://zenodo.org/records/20708301,https://github.com/danbroz/Med-discovery-public/tree/main/prion_disease_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
108,childhood_onset_fluency_disorder_stuttering,MHMDCNS-108,"64/090,974",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Childhood-Onset Fluency Disorder (Stuttering) with a combination of pitolisant and oxytocin,Childhood-Onset Fluency Disorder (Stuttering),pitolisant + oxytocin,10.5281/zenodo.20708303,https://doi.org/10.5281/zenodo.20708303,https://zenodo.org/records/20708303,https://github.com/danbroz/Med-discovery-public/tree/main/childhood_onset_fluency_disorder_stuttering,True,DOI-indexed Zenodo preprint,US provisional patent pending
109,language_disorder,MHMDCNS-109,"64/090,977",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Language Disorder with a combination of pitolisant and oxytocin,Language Disorder,pitolisant + oxytocin,10.5281/zenodo.20708305,https://doi.org/10.5281/zenodo.20708305,https://zenodo.org/records/20708305,https://github.com/danbroz/Med-discovery-public/tree/main/language_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
110,speech_sound_disorder,MHMDCNS-110,"64/090,985",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Speech Sound Disorder with a combination of pitolisant and oxytocin,Speech Sound Disorder,pitolisant + oxytocin,10.5281/zenodo.20708307,https://doi.org/10.5281/zenodo.20708307,https://zenodo.org/records/20708307,https://github.com/danbroz/Med-discovery-public/tree/main/speech_sound_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
111,social_pragmatic_communication_disorder,MHMDCNS-111,"64/090,990",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Social (Pragmatic) Communication Disorder with a combination of pitolisant and oxytocin,Social (Pragmatic) Communication Disorder,pitolisant + oxytocin,10.5281/zenodo.20708309,https://doi.org/10.5281/zenodo.20708309,https://zenodo.org/records/20708309,https://github.com/danbroz/Med-discovery-public/tree/main/social_pragmatic_communication_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
112,developmental_coordination_disorder,MHMDCNS-112,"64/090,995",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Developmental Coordination Disorder with a combination of pitolisant and oxytocin,Developmental Coordination Disorder,pitolisant + oxytocin,10.5281/zenodo.20708311,https://doi.org/10.5281/zenodo.20708311,https://zenodo.org/records/20708311,https://github.com/danbroz/Med-discovery-public/tree/main/developmental_coordination_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
