rank,slug,docket,application,application_status,customer_number,title,disorder,active_pair,doi,doi_url,zenodo_url,github_url,published,paper_status,patent_status
31,frontotemporal_neurocognitive_disorder,MHMDCNS-031,"64/076,333",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Frontotemporal Neurocognitive Disorder with a combination of pitolisant and xanomeline,Frontotemporal Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609343,https://doi.org/10.5281/zenodo.20609343,https://zenodo.org/records/20609343,https://github.com/danbroz/Med-discovery-public/tree/main/frontotemporal_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
32,mild_neurocognitive_disorder,MHMDCNS-032,"64/076,334",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Mild Neurocognitive Disorder with a combination of pitolisant and xanomeline,Mild Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609345,https://doi.org/10.5281/zenodo.20609345,https://zenodo.org/records/20609345,https://github.com/danbroz/Med-discovery-public/tree/main/mild_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
33,delirium,MHMDCNS-033,"64/076,337",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Delirium with a combination of pitolisant and xanomeline,Delirium,pitolisant + xanomeline,10.5281/zenodo.20609349,https://doi.org/10.5281/zenodo.20609349,https://zenodo.org/records/20609349,https://github.com/danbroz/Med-discovery-public/tree/main/delirium,True,DOI-indexed Zenodo preprint,US provisional patent pending
34,bulimia_nervosa,MHMDCNS-034,"64/076,338",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Bulimia Nervosa with a combination of vilazodone and crinecerfont,Bulimia Nervosa,vilazodone + crinecerfont,10.5281/zenodo.20609351,https://doi.org/10.5281/zenodo.20609351,https://zenodo.org/records/20609351,https://github.com/danbroz/Med-discovery-public/tree/main/bulimia_nervosa,True,DOI-indexed Zenodo preprint,US provisional patent pending
35,schizophreniform_disorder,MHMDCNS-035,"64/076,339",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Schizophreniform Disorder with a combination of xanomeline and perospirone,Schizophreniform Disorder,xanomeline + perospirone,10.5281/zenodo.20609355,https://doi.org/10.5281/zenodo.20609355,https://zenodo.org/records/20609355,https://github.com/danbroz/Med-discovery-public/tree/main/schizophreniform_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
36,premature_ejaculation,MHMDCNS-036,"64/076,341",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Premature Ejaculation with a combination of mianserin and sufentanil,Premature Ejaculation,mianserin + sufentanil,10.5281/zenodo.20609357,https://doi.org/10.5281/zenodo.20609357,https://zenodo.org/records/20609357,https://github.com/danbroz/Med-discovery-public/tree/main/premature_ejaculation,True,DOI-indexed Zenodo preprint,US provisional patent pending
37,circadian_rhythm_sleep_wake_disorder,MHMDCNS-037,"64/076,941",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Circadian Rhythm Sleep Wake Disorder with a combination of agomelatine and suvorexant,Circadian Rhythm Sleep Wake Disorder,agomelatine + suvorexant,10.5281/zenodo.20609359,https://doi.org/10.5281/zenodo.20609359,https://zenodo.org/records/20609359,https://github.com/danbroz/Med-discovery-public/tree/main/circadian_rhythm_sleep_wake_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
38,conduct_disorder,MHMDCNS-038,"64/076,969",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Conduct Disorder with a combination of perospirone and oxymetazoline,Conduct Disorder,perospirone + oxymetazoline,10.5281/zenodo.20609361,https://doi.org/10.5281/zenodo.20609361,https://zenodo.org/records/20609361,https://github.com/danbroz/Med-discovery-public/tree/main/conduct_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
39,oppositional_defiant_disorder,MHMDCNS-039,"64/076,974",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Oppositional Defiant Disorder with a combination of perospirone and oxymetazoline,Oppositional Defiant Disorder,perospirone + oxymetazoline,10.5281/zenodo.20609363,https://doi.org/10.5281/zenodo.20609363,https://zenodo.org/records/20609363,https://github.com/danbroz/Med-discovery-public/tree/main/oppositional_defiant_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
40,multiple_etiologies_neurocognitive_disorder,MHMDCNS-040,"64/076,977",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Multiple Etiologies Neurocognitive Disorder with a combination of pitolisant and xanomeline,Multiple Etiologies Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609365,https://doi.org/10.5281/zenodo.20609365,https://zenodo.org/records/20609365,https://github.com/danbroz/Med-discovery-public/tree/main/multiple_etiologies_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
41,traumatic_brain_injury_neurocognitive_disorder,MHMDCNS-041,"64/076,981",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Traumatic Brain Injury Neurocognitive Disorder with a combination of pitolisant and xanomeline,Traumatic Brain Injury Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609369,https://doi.org/10.5281/zenodo.20609369,https://zenodo.org/records/20609369,https://github.com/danbroz/Med-discovery-public/tree/main/traumatic_brain_injury_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
42,alcohol_withdrawal,MHMDCNS-042,"64/076,989",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Alcohol Withdrawal with a combination of delta-9-tetrahydrocannabinol and betaxolol,Alcohol Withdrawal,delta-9-tetrahydrocannabinol + betaxolol,10.5281/zenodo.20609371,https://doi.org/10.5281/zenodo.20609371,https://zenodo.org/records/20609371,https://github.com/danbroz/Med-discovery-public/tree/main/alcohol_withdrawal,True,DOI-indexed Zenodo preprint,US provisional patent pending
43,separation_anxiety_disorder,MHMDCNS-043,"64/076,997",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Separation Anxiety Disorder with a combination of agomelatine and vilazodone,Separation Anxiety Disorder,agomelatine + vilazodone,10.5281/zenodo.20609375,https://doi.org/10.5281/zenodo.20609375,https://zenodo.org/records/20609375,https://github.com/danbroz/Med-discovery-public/tree/main/separation_anxiety_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
44,anorexia_nervosa,MHMDCNS-044,"64/077,002",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Anorexia Nervosa with a combination of mianserin and delta-9-tetrahydrocannabinol,Anorexia Nervosa,mianserin + delta-9-tetrahydrocannabinol,10.5281/zenodo.20609377,https://doi.org/10.5281/zenodo.20609377,https://zenodo.org/records/20609377,https://github.com/danbroz/Med-discovery-public/tree/main/anorexia_nervosa,True,DOI-indexed Zenodo preprint,US provisional patent pending
45,acute_stress_disorder,MHMDCNS-045,"64/077,016",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Acute Stress Disorder with a combination of pimavanserin and agomelatine,Acute Stress Disorder,pimavanserin + agomelatine,10.5281/zenodo.20609379,https://doi.org/10.5281/zenodo.20609379,https://zenodo.org/records/20609379,https://github.com/danbroz/Med-discovery-public/tree/main/acute_stress_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
46,agoraphobia,MHMDCNS-046,"64/077,023",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Agoraphobia with a combination of vilazodone and agomelatine,Agoraphobia,vilazodone + agomelatine,10.5281/zenodo.20609381,https://doi.org/10.5281/zenodo.20609381,https://zenodo.org/records/20609381,https://github.com/danbroz/Med-discovery-public/tree/main/agoraphobia,True,DOI-indexed Zenodo preprint,US provisional patent pending
47,cyclothymic_disorder,MHMDCNS-047,"64/077,037",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Cyclothymic Disorder with a combination of pimavanserin and perospirone,Cyclothymic Disorder,pimavanserin + perospirone,10.5281/zenodo.20609383,https://doi.org/10.5281/zenodo.20609383,https://zenodo.org/records/20609383,https://github.com/danbroz/Med-discovery-public/tree/main/cyclothymic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
48,delusional_disorder,MHMDCNS-048,"64/077,042",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Delusional Disorder with a combination of xanomeline and perospirone,Delusional Disorder,xanomeline + perospirone,10.5281/zenodo.20609385,https://doi.org/10.5281/zenodo.20609385,https://zenodo.org/records/20609385,https://github.com/danbroz/Med-discovery-public/tree/main/delusional_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
49,central_sleep_apnea,MHMDCNS-049,"64/077,046",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Central Sleep Apnea with a combination of agomelatine and suvorexant,Central Sleep Apnea,agomelatine + suvorexant,10.5281/zenodo.20609387,https://doi.org/10.5281/zenodo.20609387,https://zenodo.org/records/20609387,https://github.com/danbroz/Med-discovery-public/tree/main/central_sleep_apnea,True,DOI-indexed Zenodo preprint,US provisional patent pending
50,male_hypoactive_sexual_desire_disorder,MHMDCNS-050,"64/077,051",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Male Hypoactive Sexual Desire Disorder with a combination of mianserin and sufentanil,Male Hypoactive Sexual Desire Disorder,mianserin + sufentanil,10.5281/zenodo.20609389,https://doi.org/10.5281/zenodo.20609389,https://zenodo.org/records/20609389,https://github.com/danbroz/Med-discovery-public/tree/main/male_hypoactive_sexual_desire_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
51,intermittent_explosive_disorder,MHMDCNS-051,"64/077,085",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Intermittent Explosive Disorder with a combination of perospirone and oxymetazoline,Intermittent Explosive Disorder,perospirone + oxymetazoline,10.5281/zenodo.20708188,https://doi.org/10.5281/zenodo.20708188,https://zenodo.org/records/20708188,https://github.com/danbroz/Med-discovery-public/tree/main/intermittent_explosive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
52,body_dysmorphic_disorder,MHMDCNS-052,"64/090,754",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Body Dysmorphic Disorder with a combination of pimavanserin and vilazodone,Body Dysmorphic Disorder,pimavanserin + vilazodone,10.5281/zenodo.20708190,https://doi.org/10.5281/zenodo.20708190,https://zenodo.org/records/20708190,https://github.com/danbroz/Med-discovery-public/tree/main/body_dysmorphic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
53,hoarding_disorder,MHMDCNS-053,"64/090,757",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Hoarding Disorder with a combination of vilazodone and pimavanserin,Hoarding Disorder,vilazodone + pimavanserin,10.5281/zenodo.20708192,https://doi.org/10.5281/zenodo.20708192,https://zenodo.org/records/20708192,https://github.com/danbroz/Med-discovery-public/tree/main/hoarding_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
54,excoriation_skin_picking_disorder,MHMDCNS-054,"64/090,760",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Excoriation (Skin Picking) Disorder with a combination of vilazodone and pimavanserin,Excoriation (Skin Picking) Disorder,vilazodone + pimavanserin,10.5281/zenodo.20708194,https://doi.org/10.5281/zenodo.20708194,https://zenodo.org/records/20708194,https://github.com/danbroz/Med-discovery-public/tree/main/excoriation_skin_picking_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
55,brief_psychotic_disorder,MHMDCNS-055,"64/090,761",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Brief Psychotic Disorder with a combination of xanomeline and perospirone,Brief Psychotic Disorder,xanomeline + perospirone,10.5281/zenodo.20708196,https://doi.org/10.5281/zenodo.20708196,https://zenodo.org/records/20708196,https://github.com/danbroz/Med-discovery-public/tree/main/brief_psychotic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
56,prolonged_grief_disorder,MHMDCNS-056,"64/090,767",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Prolonged Grief Disorder with a combination of agomelatine and vilazodone,Prolonged Grief Disorder,agomelatine + vilazodone,10.5281/zenodo.20708198,https://doi.org/10.5281/zenodo.20708198,https://zenodo.org/records/20708198,https://github.com/danbroz/Med-discovery-public/tree/main/prolonged_grief_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
57,illness_anxiety_disorder,MHMDCNS-057,"64/090,770",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Illness Anxiety Disorder with a combination of agomelatine and vilazodone,Illness Anxiety Disorder,agomelatine + vilazodone,10.5281/zenodo.20708200,https://doi.org/10.5281/zenodo.20708200,https://zenodo.org/records/20708200,https://github.com/danbroz/Med-discovery-public/tree/main/illness_anxiety_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
58,somatic_symptom_disorder,MHMDCNS-058,"64/090,773",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Somatic Symptom Disorder with a combination of vilazodone and betaxolol,Somatic Symptom Disorder,vilazodone + betaxolol,10.5281/zenodo.20708202,https://doi.org/10.5281/zenodo.20708202,https://zenodo.org/records/20708202,https://github.com/danbroz/Med-discovery-public/tree/main/somatic_symptom_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
59,functional_neurological_symptom_disorder,MHMDCNS-059,"64/090,780",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Functional Neurological Symptom Disorder with a combination of vilazodone and betaxolol,Functional Neurological Symptom Disorder,vilazodone + betaxolol,10.5281/zenodo.20708204,https://doi.org/10.5281/zenodo.20708204,https://zenodo.org/records/20708204,https://github.com/danbroz/Med-discovery-public/tree/main/functional_neurological_symptom_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
60,female_orgasmic_disorder,MHMDCNS-060,"64/090,786",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Female Orgasmic Disorder with a combination of sufentanil and mianserin,Female Orgasmic Disorder,sufentanil + mianserin,10.5281/zenodo.20708206,https://doi.org/10.5281/zenodo.20708206,https://zenodo.org/records/20708206,https://github.com/danbroz/Med-discovery-public/tree/main/female_orgasmic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
61,rem_sleep_behavior_disorder,MHMDCNS-061,"64/090,791",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating REM Sleep Behavior Disorder with a combination of suvorexant and agomelatine,REM Sleep Behavior Disorder,suvorexant + agomelatine,10.5281/zenodo.20708208,https://doi.org/10.5281/zenodo.20708208,https://zenodo.org/records/20708208,https://github.com/danbroz/Med-discovery-public/tree/main/rem_sleep_behavior_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
62,nightmare_disorder,MHMDCNS-062,"64/090,795",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Nightmare Disorder with a combination of suvorexant and agomelatine,Nightmare Disorder,suvorexant + agomelatine,10.5281/zenodo.20708210,https://doi.org/10.5281/zenodo.20708210,https://zenodo.org/records/20708210,https://github.com/danbroz/Med-discovery-public/tree/main/nightmare_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
63,non_rem_sleep_arousal_disorders,MHMDCNS-063,"64/090,797",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Non-REM Sleep Arousal Disorders with a combination of suvorexant and agomelatine,Non-REM Sleep Arousal Disorders,suvorexant + agomelatine,10.5281/zenodo.20708212,https://doi.org/10.5281/zenodo.20708212,https://zenodo.org/records/20708212,https://github.com/danbroz/Med-discovery-public/tree/main/non_rem_sleep_arousal_disorders,True,DOI-indexed Zenodo preprint,US provisional patent pending
64,sleep_related_hypoventilation,MHMDCNS-064,"64/090,809",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Sleep Related Hypoventilation with a combination of suvorexant and agomelatine,Sleep Related Hypoventilation,suvorexant + agomelatine,10.5281/zenodo.20708214,https://doi.org/10.5281/zenodo.20708214,https://zenodo.org/records/20708214,https://github.com/danbroz/Med-discovery-public/tree/main/sleep_related_hypoventilation,True,DOI-indexed Zenodo preprint,US provisional patent pending
65,compulsive_and_related_disorder_umbrella,MHMDCNS-065,"64/090,814",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating compulsive and related disorders with a combination of pimavanserin and vilazodone,Compulsive and Related Disorder (umbrella),vilazodone + pimavanserin,10.5281/zenodo.20708216,https://doi.org/10.5281/zenodo.20708216,https://zenodo.org/records/20708216,https://github.com/danbroz/Med-discovery-public/tree/main/compulsive_and_related_disorder_umbrella,True,DOI-indexed Zenodo preprint,US provisional patent pending
66,psychological_factors_affecting_other_medical_conditions,MHMDCNS-066,"64/090,818",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Psychological Factors Affecting Other Medical Conditions with a combination of vilazodone and betaxolol,Psychological Factors Affecting Other Medical Conditions,vilazodone + betaxolol,10.5281/zenodo.20708218,https://doi.org/10.5281/zenodo.20708218,https://zenodo.org/records/20708218,https://github.com/danbroz/Med-discovery-public/tree/main/psychological_factors_affecting_other_medical_conditions,True,DOI-indexed Zenodo preprint,US provisional patent pending
67,antisocial_personality_disorder,MHMDCNS-067,"64/090,819",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Antisocial Personality Disorder with a combination of pimavanserin and perospirone,Antisocial Personality Disorder,pimavanserin + perospirone,10.5281/zenodo.20708220,https://doi.org/10.5281/zenodo.20708220,https://zenodo.org/records/20708220,https://github.com/danbroz/Med-discovery-public/tree/main/antisocial_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
68,avoidant_personality_disorder,MHMDCNS-068,"64/090,822",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Avoidant Personality Disorder with a combination of pimavanserin and perospirone,Avoidant Personality Disorder,pimavanserin + perospirone,10.5281/zenodo.20708222,https://doi.org/10.5281/zenodo.20708222,https://zenodo.org/records/20708222,https://github.com/danbroz/Med-discovery-public/tree/main/avoidant_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
69,trichotillomania,MHMDCNS-069,"64/090,825",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Trichotillomania with a combination of pimavanserin and perospirone,Trichotillomania,pimavanserin + perospirone,10.5281/zenodo.20708224,https://doi.org/10.5281/zenodo.20708224,https://zenodo.org/records/20708224,https://github.com/danbroz/Med-discovery-public/tree/main/trichotillomania,True,DOI-indexed Zenodo preprint,US provisional patent pending
70,catatonic_disorder_due_to_another_medical_condition,MHMDCNS-070,"64/090,830",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Catatonic Disorder Due to Another Medical Condition with a combination of xanomeline and perospirone,Catatonic Disorder Due to Another Medical Condition,xanomeline + perospirone,10.5281/zenodo.20708226,https://doi.org/10.5281/zenodo.20708226,https://zenodo.org/records/20708226,https://github.com/danbroz/Med-discovery-public/tree/main/catatonic_disorder_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
71,bipolar_and_related_disorder_due_to_another_medical_condition,MHMDCNS-071,"64/090,835",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Bipolar and Related Disorder Due to Another Medical Condition with a combination of perospirone and pimavanserin,Bipolar and Related Disorder Due to Another Medical Condition,perospirone + pimavanserin,10.5281/zenodo.20708228,https://doi.org/10.5281/zenodo.20708228,https://zenodo.org/records/20708228,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_and_related_disorder_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
72,psychotic_disorder_due_to_another_medical_condition,MHMDCNS-072,"64/091,117",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Psychotic Disorder Due to Another Medical Condition with a combination of perospirone and xanomeline,Psychotic Disorder Due to Another Medical Condition,perospirone + xanomeline,10.5281/zenodo.20708230,https://doi.org/10.5281/zenodo.20708230,https://zenodo.org/records/20708230,https://github.com/danbroz/Med-discovery-public/tree/main/psychotic_disorder_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
73,schizoid_personality_disorder,MHMDCNS-073,"64/090,838",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Schizoid Personality Disorder with a combination of xanomeline and perospirone,Schizoid Personality Disorder,xanomeline + perospirone,10.5281/zenodo.20708232,https://doi.org/10.5281/zenodo.20708232,https://zenodo.org/records/20708232,https://github.com/danbroz/Med-discovery-public/tree/main/schizoid_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
74,schizotypal_personality_disorder,MHMDCNS-074,"64/090,843",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Schizotypal Personality Disorder with a combination of xanomeline and perospirone,Schizotypal Personality Disorder,xanomeline + perospirone,10.5281/zenodo.20708234,https://doi.org/10.5281/zenodo.20708234,https://zenodo.org/records/20708234,https://github.com/danbroz/Med-discovery-public/tree/main/schizotypal_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
75,cannabis_withdrawal,MHMDCNS-075,"64/090,849",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Cannabis Withdrawal with a combination of delta-9-tetrahydrocannabinol and betaxolol,Cannabis Withdrawal,Δ9-tetrahydrocannabinol + betaxolol,10.5281/zenodo.20708236,https://doi.org/10.5281/zenodo.20708236,https://zenodo.org/records/20708236,https://github.com/danbroz/Med-discovery-public/tree/main/cannabis_withdrawal,True,DOI-indexed Zenodo preprint,US provisional patent pending
76,anxiety_disorder_due_to_another_medical_condition,MHMDCNS-076,"64/090,853",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Anxiety Disorder Due to Another Medical Condition with a combination of agomelatine and vilazodone,Anxiety Disorder Due to Another Medical Condition,agomelatine + vilazodone,10.5281/zenodo.20708238,https://doi.org/10.5281/zenodo.20708238,https://zenodo.org/records/20708238,https://github.com/danbroz/Med-discovery-public/tree/main/anxiety_disorder_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
77,dependent_personality_disorder,MHMDCNS-077,"64/090,856",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Dependent Personality Disorder with a combination of perospirone and pimavanserin,Dependent Personality Disorder,perospirone + pimavanserin,10.5281/zenodo.20708240,https://doi.org/10.5281/zenodo.20708240,https://zenodo.org/records/20708240,https://github.com/danbroz/Med-discovery-public/tree/main/dependent_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
78,histrionic_personality_disorder,MHMDCNS-078,"64/090,859",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Histrionic Personality Disorder with a combination of perospirone and pimavanserin,Histrionic Personality Disorder,perospirone + pimavanserin,10.5281/zenodo.20708242,https://doi.org/10.5281/zenodo.20708242,https://zenodo.org/records/20708242,https://github.com/danbroz/Med-discovery-public/tree/main/histrionic_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
79,narcissistic_personality_disorder,MHMDCNS-079,"64/090,862",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Narcissistic Personality Disorder with a combination of perospirone and pimavanserin,Narcissistic Personality Disorder,perospirone + pimavanserin,10.5281/zenodo.20708244,https://doi.org/10.5281/zenodo.20708244,https://zenodo.org/records/20708244,https://github.com/danbroz/Med-discovery-public/tree/main/narcissistic_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
80,paranoid_personality_disorder,MHMDCNS-080,"64/090,864",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Paranoid Personality Disorder with a combination of perospirone and pimavanserin,Paranoid Personality Disorder,perospirone + pimavanserin,10.5281/zenodo.20708246,https://doi.org/10.5281/zenodo.20708246,https://zenodo.org/records/20708246,https://github.com/danbroz/Med-discovery-public/tree/main/paranoid_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
81,stimulant_withdrawal,MHMDCNS-081,"64/090,868",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Stimulant Withdrawal with a combination of agomelatine and delta-9-tetrahydrocannabinol,Stimulant Withdrawal,agomelatine + Δ9-tetrahydrocannabinol,10.5281/zenodo.20708248,https://doi.org/10.5281/zenodo.20708248,https://zenodo.org/records/20708248,https://github.com/danbroz/Med-discovery-public/tree/main/stimulant_withdrawal,True,DOI-indexed Zenodo preprint,US provisional patent pending
82,depressive_disorder_due_to_another_medical_condition,MHMDCNS-082,"64/090,872",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Depressive Disorder Due to Another Medical Condition with a combination of agomelatine and vilazodone,Depressive Disorder Due to Another Medical Condition,agomelatine + vilazodone,10.5281/zenodo.20708250,https://doi.org/10.5281/zenodo.20708250,https://zenodo.org/records/20708250,https://github.com/danbroz/Med-discovery-public/tree/main/depressive_disorder_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
83,personality_change_due_to_another_medical_condition,MHMDCNS-083,"64/090,875",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Personality Change Due to Another Medical Condition with a combination of perospirone and pimavanserin,Personality Change Due to Another Medical Condition,perospirone + pimavanserin,10.5281/zenodo.20708252,https://doi.org/10.5281/zenodo.20708252,https://zenodo.org/records/20708252,https://github.com/danbroz/Med-discovery-public/tree/main/personality_change_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
84,ocd_related_disorder_due_to_another_medical_condition,MHMDCNS-084,"64/090,879",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating OCD-Related Disorder Due to Another Medical Condition with a combination of pimavanserin and vilazodone,OCD-Related Disorder Due to Another Medical Condition,pimavanserin + vilazodone,10.5281/zenodo.20708254,https://doi.org/10.5281/zenodo.20708254,https://zenodo.org/records/20708254,https://github.com/danbroz/Med-discovery-public/tree/main/ocd_related_disorder_due_to_another_medical_condition,True,DOI-indexed Zenodo preprint,US provisional patent pending
85,delayed_ejaculation,MHMDCNS-085,"64/090,889",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Delayed Ejaculation with a combination of mianserin and sufentanil,Delayed Ejaculation,mianserin + sufentanil,10.5281/zenodo.20708256,https://doi.org/10.5281/zenodo.20708256,https://zenodo.org/records/20708256,https://github.com/danbroz/Med-discovery-public/tree/main/delayed_ejaculation,True,DOI-indexed Zenodo preprint,US provisional patent pending
86,major_or_mild_ncd_due_to_hiv_infection,MHMDCNS-086,"64/090,891",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Major or Mild Neurocognitive Disorder Due to HIV Infection with a combination of pitolisant and xanomeline,Major or Mild NCD Due to HIV Infection,pitolisant + xanomeline,10.5281/zenodo.20708258,https://doi.org/10.5281/zenodo.20708258,https://zenodo.org/records/20708258,https://github.com/danbroz/Med-discovery-public/tree/main/major_or_mild_ncd_due_to_hiv_infection,True,DOI-indexed Zenodo preprint,US provisional patent pending
87,major_or_mild_ncd_due_to_huntington_s_disease,MHMDCNS-087,"64/090,896",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Major or Mild Neurocognitive Disorder Due to Huntington's Disease with a combination of pitolisant and xanomeline,Major or Mild NCD Due to Huntington's Disease,pitolisant + xanomeline,10.5281/zenodo.20708260,https://doi.org/10.5281/zenodo.20708260,https://zenodo.org/records/20708260,https://github.com/danbroz/Med-discovery-public/tree/main/major_or_mild_ncd_due_to_huntington_s_disease,True,DOI-indexed Zenodo preprint,US provisional patent pending
