slug,title,disorder,active_pair,doi,doi_url,zenodo_url,deposition_id,record_id,github_url,pdf_file,published
major_or_mild_ncd_due_to_huntington_s_disease,Mechanism-Guided Discovery of pitolisant + xanomeline for Major or Mild NCD Due to Huntington's Disease,Major or Mild NCD Due to Huntington's Disease,pitolisant + xanomeline,10.5281/zenodo.20708260,https://doi.org/10.5281/zenodo.20708260,https://zenodo.org/records/20708260,20708260,20708260,https://github.com/danbroz/Med-discovery-public/tree/main/major_or_mild_ncd_due_to_huntington_s_disease,major_or_mild_ncd_due_to_huntington_s_disease.pdf,True
pedophilic_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Pedophilic Disorder,Pedophilic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708262,https://doi.org/10.5281/zenodo.20708262,https://zenodo.org/records/20708262,20708262,20708262,https://github.com/danbroz/Med-discovery-public/tree/main/pedophilic_disorder,pedophilic_disorder.pdf,True
other_or_unknown_substance_withdrawal,Mechanism-Guided Discovery of Δ9-tetrahydrocannabinol + betaxolol for Other or Unknown Substance Withdrawal,Other or Unknown Substance Withdrawal,Δ9-tetrahydrocannabinol + betaxolol,10.5281/zenodo.20708264,https://doi.org/10.5281/zenodo.20708264,https://zenodo.org/records/20708264,20708264,20708264,https://github.com/danbroz/Med-discovery-public/tree/main/other_or_unknown_substance_withdrawal,other_or_unknown_substance_withdrawal.pdf,True
gender_dysphoria,Mechanism-Guided Discovery of mianserin + sufentanil for Gender Dysphoria,Gender Dysphoria,mianserin + sufentanil,10.5281/zenodo.20708266,https://doi.org/10.5281/zenodo.20708266,https://zenodo.org/records/20708266,20708266,20708266,https://github.com/danbroz/Med-discovery-public/tree/main/gender_dysphoria,gender_dysphoria.pdf,True
intellectual_developmental_disorder,Mechanism-Guided Discovery of pitolisant + oxytocin for Intellectual Developmental Disorder,Intellectual Developmental Disorder,pitolisant + oxytocin,10.5281/zenodo.20708268,https://doi.org/10.5281/zenodo.20708268,https://zenodo.org/records/20708268,20708268,20708268,https://github.com/danbroz/Med-discovery-public/tree/main/intellectual_developmental_disorder,intellectual_developmental_disorder.pdf,True
neurocognitive_disorder_due_to_another_medical_condition,Mechanism-Guided Discovery of xanomeline + pitolisant for Neurocognitive Disorder Due to Another Medical Condition,Neurocognitive Disorder Due to Another Medical Condition,xanomeline + pitolisant,10.5281/zenodo.20708270,https://doi.org/10.5281/zenodo.20708270,https://zenodo.org/records/20708270,20708270,20708270,https://github.com/danbroz/Med-discovery-public/tree/main/neurocognitive_disorder_due_to_another_medical_condition,neurocognitive_disorder_due_to_another_medical_condition.pdf,True
kleptomania,Mechanism-Guided Discovery of perospirone + pimavanserin for Kleptomania,Kleptomania,perospirone + pimavanserin,10.5281/zenodo.20708272,https://doi.org/10.5281/zenodo.20708272,https://zenodo.org/records/20708272,20708272,20708272,https://github.com/danbroz/Med-discovery-public/tree/main/kleptomania,kleptomania.pdf,True
pyromania,Mechanism-Guided Discovery of perospirone + pimavanserin for Pyromania,Pyromania,perospirone + pimavanserin,10.5281/zenodo.20708274,https://doi.org/10.5281/zenodo.20708274,https://zenodo.org/records/20708274,20708274,20708274,https://github.com/danbroz/Med-discovery-public/tree/main/pyromania,pyromania.pdf,True
dissociative_amnesia,Mechanism-Guided Discovery of vilazodone + crinecerfont for Dissociative Amnesia,Dissociative Amnesia,vilazodone + crinecerfont,10.5281/zenodo.20708276,https://doi.org/10.5281/zenodo.20708276,https://zenodo.org/records/20708276,20708276,20708276,https://github.com/danbroz/Med-discovery-public/tree/main/dissociative_amnesia,dissociative_amnesia.pdf,True
dissociative_identity_disorder,Mechanism-Guided Discovery of vilazodone + crinecerfont for Dissociative Identity Disorder,Dissociative Identity Disorder,vilazodone + crinecerfont,10.5281/zenodo.20708278,https://doi.org/10.5281/zenodo.20708278,https://zenodo.org/records/20708278,20708278,20708278,https://github.com/danbroz/Med-discovery-public/tree/main/dissociative_identity_disorder,dissociative_identity_disorder.pdf,True
rumination_disorder,Mechanism-Guided Discovery of vilazodone + crinecerfont for Rumination Disorder,Rumination Disorder,vilazodone + crinecerfont,10.5281/zenodo.20708280,https://doi.org/10.5281/zenodo.20708280,https://zenodo.org/records/20708280,20708280,20708280,https://github.com/danbroz/Med-discovery-public/tree/main/rumination_disorder,rumination_disorder.pdf,True
reactive_attachment_disorder,Mechanism-Guided Discovery of oxytocin + encenicline for Reactive Attachment Disorder,Reactive Attachment Disorder,oxytocin + encenicline,10.5281/zenodo.20708282,https://doi.org/10.5281/zenodo.20708282,https://zenodo.org/records/20708282,20708282,20708282,https://github.com/danbroz/Med-discovery-public/tree/main/reactive_attachment_disorder,reactive_attachment_disorder.pdf,True
disinhibited_social_engagement_disorder,Mechanism-Guided Discovery of oxytocin + encenicline for Disinhibited Social Engagement Disorder,Disinhibited Social Engagement Disorder,oxytocin + encenicline,10.5281/zenodo.20708284,https://doi.org/10.5281/zenodo.20708284,https://zenodo.org/records/20708284,20708284,20708284,https://github.com/danbroz/Med-discovery-public/tree/main/disinhibited_social_engagement_disorder,disinhibited_social_engagement_disorder.pdf,True
sexual_masochism_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Sexual Masochism Disorder,Sexual Masochism Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708286,https://doi.org/10.5281/zenodo.20708286,https://zenodo.org/records/20708286,20708286,20708286,https://github.com/danbroz/Med-discovery-public/tree/main/sexual_masochism_disorder,sexual_masochism_disorder.pdf,True
sexual_sadism_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Sexual Sadism Disorder,Sexual Sadism Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708288,https://doi.org/10.5281/zenodo.20708288,https://zenodo.org/records/20708288,20708288,20708288,https://github.com/danbroz/Med-discovery-public/tree/main/sexual_sadism_disorder,sexual_sadism_disorder.pdf,True
exhibitionistic_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Exhibitionistic Disorder,Exhibitionistic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708290,https://doi.org/10.5281/zenodo.20708290,https://zenodo.org/records/20708290,20708290,20708290,https://github.com/danbroz/Med-discovery-public/tree/main/exhibitionistic_disorder,exhibitionistic_disorder.pdf,True
voyeuristic_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Voyeuristic Disorder,Voyeuristic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708293,https://doi.org/10.5281/zenodo.20708293,https://zenodo.org/records/20708293,20708293,20708293,https://github.com/danbroz/Med-discovery-public/tree/main/voyeuristic_disorder,voyeuristic_disorder.pdf,True
frotteuristic_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Frotteuristic Disorder,Frotteuristic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708295,https://doi.org/10.5281/zenodo.20708295,https://zenodo.org/records/20708295,20708295,20708295,https://github.com/danbroz/Med-discovery-public/tree/main/frotteuristic_disorder,frotteuristic_disorder.pdf,True
fetishistic_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Fetishistic Disorder,Fetishistic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708297,https://doi.org/10.5281/zenodo.20708297,https://zenodo.org/records/20708297,20708297,20708297,https://github.com/danbroz/Med-discovery-public/tree/main/fetishistic_disorder,fetishistic_disorder.pdf,True
transvestic_disorder,Mechanism-Guided Discovery of vilazodone + bicalutamide for Transvestic Disorder,Transvestic Disorder,vilazodone + bicalutamide,10.5281/zenodo.20708299,https://doi.org/10.5281/zenodo.20708299,https://zenodo.org/records/20708299,20708299,20708299,https://github.com/danbroz/Med-discovery-public/tree/main/transvestic_disorder,transvestic_disorder.pdf,True
prion_disease_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Prion Disease Neurocognitive Disorder,Prion Disease Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20708301,https://doi.org/10.5281/zenodo.20708301,https://zenodo.org/records/20708301,20708301,20708301,https://github.com/danbroz/Med-discovery-public/tree/main/prion_disease_neurocognitive_disorder,prion_disease_neurocognitive_disorder.pdf,True
childhood_onset_fluency_disorder_stuttering,Mechanism-Guided Discovery of pitolisant + oxytocin for Childhood-Onset Fluency Disorder (Stuttering),Childhood-Onset Fluency Disorder (Stuttering),pitolisant + oxytocin,10.5281/zenodo.20708303,https://doi.org/10.5281/zenodo.20708303,https://zenodo.org/records/20708303,20708303,20708303,https://github.com/danbroz/Med-discovery-public/tree/main/childhood_onset_fluency_disorder_stuttering,childhood_onset_fluency_disorder_stuttering.pdf,True
language_disorder,Mechanism-Guided Discovery of pitolisant + oxytocin for Language Disorder,Language Disorder,pitolisant + oxytocin,10.5281/zenodo.20708305,https://doi.org/10.5281/zenodo.20708305,https://zenodo.org/records/20708305,20708305,20708305,https://github.com/danbroz/Med-discovery-public/tree/main/language_disorder,language_disorder.pdf,True
speech_sound_disorder,Mechanism-Guided Discovery of pitolisant + oxytocin for Speech Sound Disorder,Speech Sound Disorder,pitolisant + oxytocin,10.5281/zenodo.20708307,https://doi.org/10.5281/zenodo.20708307,https://zenodo.org/records/20708307,20708307,20708307,https://github.com/danbroz/Med-discovery-public/tree/main/speech_sound_disorder,speech_sound_disorder.pdf,True
social_pragmatic_communication_disorder,Mechanism-Guided Discovery of pitolisant + oxytocin for Social (Pragmatic) Communication Disorder,Social (Pragmatic) Communication Disorder,pitolisant + oxytocin,10.5281/zenodo.20708309,https://doi.org/10.5281/zenodo.20708309,https://zenodo.org/records/20708309,20708309,20708309,https://github.com/danbroz/Med-discovery-public/tree/main/social_pragmatic_communication_disorder,social_pragmatic_communication_disorder.pdf,True
developmental_coordination_disorder,Mechanism-Guided Discovery of pitolisant + oxytocin for Developmental Coordination Disorder,Developmental Coordination Disorder,pitolisant + oxytocin,10.5281/zenodo.20708311,https://doi.org/10.5281/zenodo.20708311,https://zenodo.org/records/20708311,20708311,20708311,https://github.com/danbroz/Med-discovery-public/tree/main/developmental_coordination_disorder,developmental_coordination_disorder.pdf,True
